Name,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Haley,,,,,,,,,,9068,
Hannah,,,,,,,,,10275,23073,6974
Hattie,1314,,,,,,,,,,
Hazel,3032,7308,3887,,,,,,,,
Heather,,,,,,,14668,19971,14217,,
Heidi,,,,,,,4644,4026,,,
Helen,10479,35098,19912,10201,7058,,,,,,
Holly,,,,,,,4938,5282,3771,,
Ida,2107,4092,2645,,,,,,,,
Inez,916,,,,,,,,,,
Irene,3281,10071,6465,3397,3822,,,,,,
Isabel,,,,,,,,,,3446,
Isabella,,,,,,,,,,6242,22883
Jacqueline,,,3413,3218,6453,5650,5579,3879,5238,5035,
Jada,,,,,,,,,,3747,
Jamie,,,,,,,,11523,6510,,
Jane,,5055,4574,5090,8966,6584,,,,,
Janet,,,4602,10104,16192,14250,4158,,,,
Janice,,,,9315,15018,9619,,,,,
Jasmine,,,,,,,,,11033,9092,4162
Jean,1246,7713,11985,8063,7431,5640,,,,,
Jeanette,,,,2727,,,,,,,
Jeanne,,,2720,,3736,,,,,,
Jenna,,,,,,,,,3958,5045,
Jennie,1183,2808,,,,,,,,,
Jennifer,,,,,,7242,46160,58385,22221,9385,
Jessica,,,,,,,4022,33920,46466,15704,3192
Jessie,1541,3330,,,,,,,,,
Jill,,,,,,6018,6807,4556,,,
Jo,,,,3427,5676,,,,,,
Joan,,,15477,13288,8866,5878,,,,,
Joann,,,,3791,3598,,,,,,
Joanne,,,3154,4419,5491,4875,,,,,
Jocelyn,,,,,,,,,,,3981
Jodi,,,,,,,4184,,,,
Jordan,,,,,,,,,5954,5808,
Josephine,2801,8095,4984,2741,,,,,,,
Joyce,,,9659,14801,13417,7750,,,,,
Juanita,,4239,4515,3170,,,,,,,
Judith,,,,22380,15359,6150,,,,,
Judy,,,,11381,14206,8864,,,,,
Julia,2074,4889,2879,2706,,,,3068,3908,8764,4673
Julie,,,,,,16077,17162,8909,3655,,
June,,4912,5093,2948,,,,,,,
Kaitlyn,,,,,,,,,4312,8757,3290
Karen,,,,7283,24139,36381,16702,5054,,,
Katelyn,,,,,,,,,4485,5501,
Katherine,1753,5275,3029,2709,6208,5879,5445,8017,11617,8106,3861
Kathleen,,3156,3075,5698,25699,16090,7410,3860,3669,,
Kathryn,1198,4082,,,7859,5868,,5529,6350,3641,
Kathy,,,,,9091,18478,4798,,,,
Katie,,,,,,,,6135,6510,3391,
Katrina,,,,,,,,3397,,,
Kay,,,,3199,,,,,,,
Kayla,,,,,,,,,17536,13310,5047
